	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
21-1	125	3	ORANGE_8	3248	1	BONNIES_ROOM_1	BAYMAX,SOULLESS_CACTUS_F,SOULLESS_TREASURE,DARKWING_DUCK	HERCULES,STITCH:BITE,SOULLESS_CACTUS_N,VIOLET,URSULA	[boss]CHIEF_BOGO,BO_PEEP,SOULLESS_GLASS_CANNON_N,DASH:SHIELD_COUNTER,ROBIN_HOOD:CONTROL,JUDY_HOPPS:SUPPORT	SHARD_MOUSERCIZE,SHARD_BADGE_OF_INTIMIDATION,SHARD_TOUR_BUS	SHARD_JAR_OF_MARS,SHARD_REEL_STONE_GUARDIAN,SHARD_LOVE_BUG	
21-2	126	3	ORANGE_8	3248	0	BONNIES_ROOM_4	HERCULES,EMPEROR_ZURG,CALHOUN,ROBIN_HOOD	HADES:TANK,HERCULES,SOULLESS_SPLASH_F,SOULLESS_SPLASH_N,SOULLESS_BUG_N	[boss]OLAF,SOULLESS_MAGE_F,ELSA:FREEZE,SOULLESS_CACTUS_N,DUKE_CABOOM,WOODY:LASSO_EARLY	SHARD_IM_LATE,SHARD_BADGE_OF_INTIMIDATION,SHARD_TOUR_BUS	SHARD_REEL_LIQUID_BREAKFAST,SHARD_REEL_STONE_GUARDIAN,SHARD_LOVE_BUG	
21-3	126	3	ORANGE_8	3248	0	BONNIES_ROOM_9	SHANK,REX,HECTOR_BARBOSSA,SOULLESS_SPIDER_CONTROL	BAYMAX,SOULLESS_GHOUL_N,JESSIE:DODGE,CALHOUN,JUDY_HOPPS	[boss]HADES,NICK_WILDE:CHARM,GENIE:FREEZE,MEGARA:DISABLE,JUDY_HOPPS	SHARD_BADGE_OF_INTIMIDATION,SHARD_MAN_IN_THE_MOON,SHARD_IM_LATE	SHARD_LOVE_BUG,SHARD_REEL_FREDS_RECYCLED_BOXERS,SHARD_REEL_LIQUID_BREAKFAST	
21-4	127	3	ORANGE_8	3248	1	BONNIES_ROOM_10	SULLEY,JESSIE,SOULLESS_TURRET,SOULLESS_TREASURE	HADES:TANK,MAUI,JACK_SKELLINGTON,MALEFICENT,URSULA:ENERGY	[boss]MAUI:BITE,SCAR,CALHOUN:ENERGY,EMPEROR_ZURG,MIGUEL:FREEZE,SOULLESS_CACTUS_F	SHARD_REEL_ON_A_ROLL,SHARD_MAN_IN_THE_MOON,SHARD_IM_LATE	REEL_BADGE_OF_GIRTH,SHARD_REEL_FREDS_RECYCLED_BOXERS,SHARD_REEL_LIQUID_BREAKFAST	
21-5	127	3	ORANGE_8	3248	0	BONNIES_ROOM_7	SOULLESS_GHOUL_F,SOULLESS_CACTUS_F,BEAST,SOULLESS_SPIDER_CONTROL	REX:SHIELD_COUNTER,JESSIE,JACK_SKELLINGTON,SCAR,SOULLESS_BUG_N	[boss]MERIDA:FIRE,ROBIN_HOOD,STITCH:BITE,SOULLESS_CACTUS_N,ALADDIN,HIRO:SUMMON	SHARD_NO_LLAMAS,SHARD_MAN_IN_THE_MOON,SHARD_IM_LATE	SHARD_REEL_OO_DE_LALLY_ARROWS,SHARD_REEL_FREDS_RECYCLED_BOXERS,SHARD_REEL_LIQUID_BREAKFAST	
21-6	128	3	ORANGE_8	3248	0	BONNIES_ROOM_6	FELIX,JACK_JACK,MICKEY_MOUSE,TIA_DALMA	SHANK,JACK_SKELLINGTON,HECTOR_BARBOSSA,SCAR,TIA_DALMA:SILENCE	[boss]BAYMAX:FREEZE,HADES,JACK_SKELLINGTON:DOT,MERIDA,SOULLESS_CACTUS_N,EMPEROR_ZURG	SHARD_IM_LATE,SHARD_BADGE_OF_INTIMIDATION,SHARD_NO_LLAMAS	SHARD_REEL_LIQUID_BREAKFAST,SHARD_REEL_STABLE_WALKING_CANE,SHARD_REEL_OO_DE_LALLY_ARROWS	
21-7	128	3	ORANGE_8	3248	1	BONNIES_ROOM_2	SOULLESS_GHOUL_F,MR_INCREDIBLE,SOULLESS_CANNON,CALHOUN	MR_INCREDIBLE:ARMOR_SHREAD,HADES,CAT_BURGLAR,YAX,MERLIN:CONTROL	[boss]SHANK:ENERGY,OLAF:FREEZE,SALLY,BUZZ,VANELLOPE,TIA_DALMA:CHARM	SHARD_REEL_LUCKY_EGG,SHARD_BADGE_OF_INTIMIDATION,SHARD_NO_LLAMAS	SHARD_EXTRACT_OF_LLAMA,SHARD_REEL_STABLE_WALKING_CANE,SHARD_REEL_OO_DE_LALLY_ARROWS	
21-8	129	3	ORANGE_8	3248	0	BONNIES_ROOM_5	SALLY,JESSIE,DASH,JACK_SPARROW	SHANK:ARMOR,BEAST,SOULLESS_CACTUS_N,SOULLESS_CACTUS_F,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE:WEAK_ALLIES,ELASTIGIRL,SOULLESS_CACTUS_F,SOULLESS_DINOSAUR,HIRO,SOULLESS_SPIDER_TANK	SHARD_TOUR_BUS,SHARD_BADGE_OF_INTIMIDATION,SHARD_NO_LLAMAS	REEL_MRS_NESBITTS_CHAPEAU,SHARD_REEL_STABLE_WALKING_CANE,SHARD_REEL_OO_DE_LALLY_ARROWS	
21-9	129	3	ORANGE_8	3248	0	BONNIES_ROOM_3	MR_INCREDIBLE,SOULLESS_SPLASH_N,EVE,CALHOUN	HADES,MR_INCREDIBLE,MAUI,ELASTIGIRL:BACKLINE,WOODY	[boss]MAUI,SOULLESS_SWORD_F,CALHOUN,MIKE:FANTASTIC_DAMAGE,MOANA:SHIELD,JUDY_HOPPS:SUPPORT	SHARD_NO_LLAMAS,SHARD_MAN_IN_THE_MOON,SHARD_TOUR_BUS	SHARD_REEL_OO_DE_LALLY_ARROWS,SHARD_SHRINK_RAY,REEL_MRS_NESBITTS_CHAPEAU	
21-10	130	3	ORANGE_8	3248	1	BONNIES_ROOM_8	SOULLESS_BRUTE,SOULLESS_GLASS_CANNON_N,SOULLESS_BUG_N,SOULLESS_CACTUS_N	SULLEY:STUN_COUNTER,SOULLESS_BUG_F,SOULLESS_DINOSAUR_F,ELSA,SOULLESS_TREASURE	[boss]REX:DPS_SYNERGY,HADES:TANK,JACK_SKELLINGTON:DOT,DUKE_CABOOM,SOULLESS_CACTUS_N,MERLIN	SHARD_DINGLEHOPPER,SHARD_MAN_IN_THE_MOON,SHARD_TOUR_BUS	SHARD_GIGANTIC_PEACH,SHARD_SHRINK_RAY,REEL_MRS_NESBITTS_CHAPEAU	
21-11	131	3	ORANGE_8	3248	0	BONNIES_ROOM_1	SOULLESS_GHOUL_N,DARKWING_DUCK,SOULLESS_AUTOTURRET,SOULLESS_DINOSAUR_F	CHIEF_BOGO:CHARGE,DASH,SCAR:SPEED,JACK_SKELLINGTON,SOULLESS_SPIDER_DPS	[boss]BAYMAX:FREEZE,SOULLESS_SPLASH_N,DASH:ENERGY,DARKWING_DUCK:CRIT,SOULLESS_SPIDER_TANK,SOULLESS_SPIDER_DPS	SHARD_IM_LATE,SHARD_MAN_IN_THE_MOON,SHARD_TOUR_BUS	SUPER_DUPER_GLUE,SHARD_SHRINK_RAY,REEL_MRS_NESBITTS_CHAPEAU	
21-12	131	3	ORANGE_8	3248	0	BONNIES_ROOM_2	CHIEF_BOGO,SOULLESS_SWORD_N,CALHOUN,WOODY	FELIX,DASH,ANGER,EVE,JUDY_HOPPS:REVIVE	[boss]GOOFY:BLIND,BAYMAX,STITCH:SLOW,MERIDA,JACK_SKELLINGTON,SCAR	SHARD_TOUR_BUS,SHARD_BADGE_OF_INTIMIDATION,SHARD_IM_LATE	REEL_MRS_NESBITTS_CHAPEAU,SHARD_REEL_SPEAR_MINT,SUPER_DUPER_GLUE	
21-13	132	3	ORANGE_8	3248	1	BONNIES_ROOM_10	OLAF,SOULLESS_BRUTE,CAT_BURGLAR,SOULLESS_SWORD_F	MAUI,SOULLESS_CACTUS_N,BEAST,STITCH:SLOW,ALADDIN	[boss]MR_INCREDIBLE,MERIDA,ELASTIGIRL:BACKLINE,VANELLOPE:BACKLINE,SOULLESS_TURRET,MEGARA:DISABLE	SHARD_REEL_GONNA_GET_A_LITTLE_WEIRD,SHARD_BADGE_OF_INTIMIDATION,SHARD_IM_LATE	SHARD_SPILT_MILK,SHARD_REEL_SPEAR_MINT,SUPER_DUPER_GLUE	
21-14	132	3	ORANGE_8	3248	0	BONNIES_ROOM_6	SULLEY,SOULLESS_CACTUS_N,JESSIE,MERLIN	HERCULES,SOULLESS_CACTUS_F,HECTOR_BARBOSSA,CALHOUN,URSULA:CONTROL	[boss]MR_INCREDIBLE:WEAK_ALLIES,SOULLESS_MAGE_N,ALADDIN:SPEED,SOULLESS_CACTUS_N,DASH,SOULLESS_BUG_N	SHARD_NO_LLAMAS,SHARD_BADGE_OF_INTIMIDATION,SHARD_IM_LATE	SHARD_REEL_UKULELE,SHARD_REEL_SPEAR_MINT,SUPER_DUPER_GLUE	
21-15	133	3	ORANGE_8	3248	0	BONNIES_ROOM_9	REX,SULLEY,DARKWING_DUCK,TIA_DALMA	FELIX,HADES,DARKWING_DUCK:SHIELD,ANGER,MIGUEL	[boss]SHANK:ARMOR,SULLEY:TEAM_HEAL,SOULLESS_CACTUS_F,EMPEROR_ZURG,TIA_DALMA	SHARD_IM_LATE,SHARD_MAN_IN_THE_MOON,SHARD_NO_LLAMAS	SUPER_DUPER_GLUE,SHARD_LUCKY_EARS,SHARD_REEL_UKULELE	
21-16	133	3	ORANGE_8	3248	1	BONNIES_ROOM_7	BO_PEEP,OLAF,MIKE,HECTOR_BARBOSSA	MR_INCREDIBLE:ARMOR_SHREAD,SOULLESS_SWORD_F,JESSIE,FINNICK,GENIE:SHIELD	[boss]HADES,QUORRA:SHIELD,ANGER,MICKEY_MOUSE:HEALING,URSULA:CONTROL,TIA_DALMA	SHARD_FLIGHT_OF_FANCY,SHARD_MAN_IN_THE_MOON,SHARD_NO_LLAMAS	SHARD_GIGANTIC_PEACH,SHARD_LUCKY_EARS,SHARD_REEL_UKULELE	
21-17	134	3	ORANGE_8	3248	0	BONNIES_ROOM_5	OLAF,EMPEROR_ZURG,JACK_SPARROW,JOY	HERCULES:CONTROL,SOULLESS_BUG_N,MOANA:JUMP,VANELLOPE	[boss]SULLEY,JESSIE,MIKE:STUNS,ROBIN_HOOD:STEAL,DARKWING_DUCK,URSULA:ENERGY	SHARD_CURIOUS_MAZE,SHARD_MAN_IN_THE_MOON,SHARD_NO_LLAMAS	SHARD_REEL_FA_FAMILY_SHEARS,SHARD_LUCKY_EARS,SHARD_REEL_UKULELE	
21-18	134	3	ORANGE_8	3248	0	BONNIES_ROOM_3	SOULLESS_SKELETON,SOULLESS_GHOUL_N,SOULLESS_MAGE_N,SOULLESS_CACTUS_F	HADES:TANK,MIKE,SOULLESS_CACTUS_F,SOULLESS_CACTUS_N,MIGUEL	[boss]SHANK,HADES,HECTOR_BARBOSSA,MOANA:SHIELD,EMPEROR_ZURG:TANK_COUNTER,HIRO:SUMMON	SHARD_NO_LLAMAS,SHARD_BADGE_OF_INTIMIDATION,SHARD_CURIOUS_MAZE	SHARD_REEL_UKULELE,SHARD_DEUS_EX_CALIBUR,SHARD_REEL_FA_FAMILY_SHEARS	
21-19	135	3	ORANGE_8	3248	1	BONNIES_ROOM_4	REX,EMPEROR_ZURG,SOULLESS_CACTUS_N,VIOLET	CHIEF_BOGO:HEALS,CALHOUN,SOULLESS_MAGE_F,ELSA	[boss]SULLEY:TEAM_HEAL,DUKE_CABOOM,VANELLOPE:SLOW,MOANA,SOULLESS_SPLASH_F,DASH	SHARD_FANTASOUND,SHARD_BADGE_OF_INTIMIDATION,SHARD_CURIOUS_MAZE	SHARD_EXTRACT_OF_LLAMA,SHARD_DEUS_EX_CALIBUR,SHARD_REEL_FA_FAMILY_SHEARS	
22-1	130	3	RED	3248	1	BLACK_MARKET_1	BAYMAX::FALSE,CHIEF_BOGO::FALSE,SOULLESS_ONION,SOULLESS_MAGE_F	MR_INCREDIBLE::FALSE,RALPH::FALSE,BAYMAX::FALSE,MOANA:SHIELD:FALSE,MICKEY_MOUSE::FALSE	[boss]SOULLESS_SWORD_F,SOULLESS_GLASS_CANNON_F,HECTOR_BARBOSSA:STUDY:FALSE,JACK_JACK:AOE_STUN:FALSE,JACK_SPARROW::FALSE,HIRO:SUMMON:FALSE	SHARD_REEL_PAY_THROUGH_THE_TEETH,SHARD_BATH_TIME,SHARD_GREAT_STAR	MOON_ANCHOR,SHARD_REEL_SPEAR_MINT,SHARD_PC_FLYERS	
22-2	131	3	RED	3248	0	BLACK_MARKET_8	SOULLESS_SWORD_N,EMPEROR_ZURG::FALSE,SOULLESS_SPIDER_CONTROL,WOODY::FALSE	MR_INCREDIBLE::FALSE,NICK_WILDE:CHARM:FALSE,EVE:DISABLE_SPREAD:FALSE,SOULLESS_ONION,SOULLESS_SPIDER_DPS	[boss]REX::FALSE,SOULLESS_GHOUL_N,SOULLESS_SPLASH_F,SOULLESS_ONION,QUORRA:CRIT:FALSE,TIA_DALMA:CHARM:FALSE	SHARD_THE_PACIFIER,SHARD_BATH_TIME,SHARD_GREAT_STAR	SHARD_SALLYS_SPICES,SHARD_REEL_SPEAR_MINT,SHARD_PC_FLYERS	
22-3	131	3	RED	3248	0	BLACK_MARKET_7	SOULLESS_GHOUL_F,SOULLESS_ONION,DUKE_CABOOM::FALSE,VIOLET::FALSE	GOOFY::FALSE,HERCULES::FALSE,REX::FALSE,ROBIN_HOOD:CONTROL:FALSE,SOULLESS_MAGE_N	[boss]SOULLESS_SWORD_N,JACK_SPARROW:HP:FALSE,MOANA::FALSE,TIA_DALMA:CHARM:FALSE,FROZONE:HEALS:FALSE,MIGUEL::FALSE	SHARD_BATH_TIME,SHARD_DOGGONE_DEADLINES,SHARD_THE_PACIFIER	SHARD_PC_FLYERS,SHARD_REEL_STABLE_WALKING_CANE,SHARD_SALLYS_SPICES	
22-4	132	3	RED	3248	1	BLACK_MARKET_10	SHANK::FALSE,MAUI::FALSE,HECTOR_BARBOSSA::FALSE,VIOLET::FALSE	GOOFY:SHIELD:FALSE,ELSA::FALSE,STITCH::FALSE,JACK_SPARROW::FALSE,SOULLESS_CACTUS_F	[boss]CHIEF_BOGO::FALSE,DARKWING_DUCK::FALSE,BUZZ:SHIELD_ALLY:FALSE,SOULLESS_ONION,SOULLESS_CACTUS_F,WOODY:LASSO_EARLY:FALSE	SHARD_REEL_LOVE_POTION,SHARD_DOGGONE_DEADLINES,SHARD_THE_PACIFIER	SHARD_REEL_MIST_MAKER,SHARD_REEL_STABLE_WALKING_CANE,SHARD_SALLYS_SPICES	
22-5	132	3	RED	3248	0	BLACK_MARKET_12	FELIX::FALSE,SOULLESS_SKELETON,ROBIN_HOOD::FALSE,BUZZ::FALSE	OLAF:ENERGY:FALSE,CAT_BURGLAR,EMPEROR_ZURG:TANK_COUNTER:FALSE,SOULLESS_CACTUS_F,SOULLESS_SPIDER_DPS	[boss]SHANK:ARMOR:FALSE,REX:SHIELD_COUNTER:FALSE,JACK_SKELLINGTON:DUCK:FALSE,SOULLESS_CACTUS_N,SOULLESS_SPIDER_SUPPORT,MICKEY_MOUSE::FALSE	SHARD_PISTON_CUP,SHARD_DOGGONE_DEADLINES,SHARD_THE_PACIFIER	SHARD_REEL_DISCARDED_TIARA,SHARD_REEL_STABLE_WALKING_CANE,SHARD_SALLYS_SPICES	
22-6	133	3	RED	3248	0	BLACK_MARKET_15	OLAF::FALSE,SCAR::FALSE,SOULLESS_CANNON,VIOLET::FALSE	GOOFY::FALSE,MIKE::FALSE,DUKE_CABOOM::FALSE,SOULLESS_SPLASH_F,WOODY:LASSO_EARLY:FALSE	[boss]OLAF:ENERGY:FALSE,SOULLESS_SWORD_F,MOANA:SHIELD:FALSE,SOULLESS_ONION,JESSIE::FALSE,SOULLESS_BUG_N	SHARD_THE_PACIFIER,SHARD_BATH_TIME,SHARD_PISTON_CUP	SHARD_SALLYS_SPICES,CONTINENTAL_BREAKFAST,SHARD_REEL_DISCARDED_TIARA	
22-7	133	3	RED	3248	1	BLACK_MARKET_16	BAYMAX::FALSE,REX::FALSE,SOULLESS_DINOSAUR_F,CALHOUN::FALSE	GOOFY:BLIND:FALSE,SALLY::FALSE,SOULLESS_MAGE_F,TIA_DALMA::FALSE,MICKEY_MOUSE:HEALING:FALSE	[boss]SULLEY:TEAM_HEAL:FALSE,STITCH::FALSE,MIKE:STUNS:FALSE,BUZZ:SHIELD_ALLY:FALSE,ALADDIN::FALSE,MEGARA::FALSE	SHARD_BADGE_OF_SWEETNESS,SHARD_BATH_TIME,SHARD_PISTON_CUP	SHARD_DEUS_EX_CALIBUR,CONTINENTAL_BREAKFAST,SHARD_REEL_DISCARDED_TIARA	
22-8	134	3	RED	3248	0	BLACK_MARKET_2	REX::FALSE,SOULLESS_MAGE_F,KEVIN_FLYNN::FALSE,SOULLESS_SPIDER_TANK	SHANK:ARMOR:FALSE,SOULLESS_ONION,JESSIE:JUMP_EARLY:FALSE,SOULLESS_CANNON,SOULLESS_SPIDER_TANK	[boss]RALPH:HEALING:FALSE,MAUI:HP:FALSE,SOULLESS_TREASURE,SOULLESS_SPLASH_N,BUZZ::FALSE,MERLIN:CONTROL:FALSE	SHARD_GREAT_STAR,SHARD_BATH_TIME,SHARD_PISTON_CUP	SHARD_PRINCESS_FINDER,CONTINENTAL_BREAKFAST,SHARD_REEL_DISCARDED_TIARA	
22-9	134	3	RED	3248	0	BLACK_MARKET_4	SHANK::FALSE,ELASTIGIRL::FALSE,FROZONE::FALSE,TIA_DALMA::FALSE	HERCULES::FALSE,VANELLOPE:BACKLINE:FALSE,CALHOUN:ENERGY:FALSE,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]HADES::FALSE,SOULLESS_TREASURE,MOANA:JUMP:FALSE,MIKE:STUNS:FALSE,MERIDA::FALSE,YAX:SLOW:FALSE	SHARD_PISTON_CUP,SHARD_DOGGONE_DEADLINES,SHARD_GREAT_STAR	SHARD_REEL_DISCARDED_TIARA,SHARD_REEL_DRUM_LINE,SHARD_PRINCESS_FINDER	
22-10	135	3	RED	3248	1	BLACK_MARKET_3	SALLY::FALSE,SOULLESS_MAGE_N,MERIDA::FALSE,SOULLESS_SPIDER_SUPPORT	SHANK:ENERGY:FALSE,SOULLESS_DINOSAUR_F,BUZZ::FALSE,EVE::FALSE,SOULLESS_ONION	[boss]HADES:DOT:FALSE,REX::FALSE,VANELLOPE:BACKLINE:FALSE,SOULLESS_BUG_N,SOULLESS_DINOSAUR,MOANA::FALSE	SHARD_REEL_SHEPHERDS_JOURNAL,SHARD_DOGGONE_DEADLINES,SHARD_GREAT_STAR	REEL_BADGE_OF_GIRTH,SHARD_REEL_DRUM_LINE,SHARD_PRINCESS_FINDER	
22-11	136	3	RED	3248	0	BLACK_MARKET_14	MR_INCREDIBLE::FALSE,MR_INCREDIBLE::FALSE,SCAR::FALSE,ELSA::FALSE	SHANK:ENERGY:FALSE,SOULLESS_GHOUL_F,SOULLESS_TREASURE,JACK_SPARROW::FALSE,SCAR::FALSE	[boss]FELIX:ANGER:FALSE,REX:SHIELD_COUNTER:FALSE,BO_PEEP::FALSE,SOULLESS_CANNON,KEVIN_FLYNN:SHIELD:FALSE,JUDY_HOPPS:REVIVE:FALSE	SHARD_PLUCKED_PELICAN,SHARD_DOGGONE_DEADLINES,SHARD_GREAT_STAR	EMBRITTLEMENT_PERFUME,SHARD_REEL_DRUM_LINE,SHARD_PRINCESS_FINDER	
22-12	136	3	RED	3248	0	BLACK_MARKET_11	SOULLESS_SWORD_F,SOULLESS_GLASS_CANNON_N,HECTOR_BARBOSSA::FALSE,SOULLESS_SPIDER_DPS	MAUI:BITE:FALSE,SHANK::FALSE,DUKE_CABOOM::FALSE,JOY::FALSE,SOULLESS_ONION	[boss]MAUI:HP:FALSE,MERIDA::FALSE,ALADDIN:SPEED:FALSE,SOULLESS_DINOSAUR,MICKEY_MOUSE:HEALING:FALSE,FROZONE::FALSE	SHARD_GREAT_STAR,SHARD_BATH_TIME,SHARD_PLUCKED_PELICAN	SHARD_PRINCESS_FINDER,SHARD_REEL_MATHEMATICALLY_DELICIOUS,EMBRITTLEMENT_PERFUME	
22-13	137	3	RED	3248	1	BLACK_MARKET_6	HADES::FALSE,SOULLESS_SKELETON,DUKE_CABOOM::FALSE,SOULLESS_BUG_F	CHIEF_BOGO:CHARGE:FALSE,HECTOR_BARBOSSA:SLOW:FALSE,EVE::FALSE,MALEFICENT::FALSE	[boss]RALPH:HEALING:FALSE,SOULLESS_SWORD_F,ELSA:SHIELD:FALSE,DARKWING_DUCK::FALSE,HECTOR_BARBOSSA::FALSE,MERIDA::FALSE	SHARD_REEL_WEIRD_WEBSITE,SHARD_BATH_TIME,SHARD_PLUCKED_PELICAN	SHARD_GIGANTIC_PEACH,SHARD_REEL_MATHEMATICALLY_DELICIOUS,EMBRITTLEMENT_PERFUME	
22-14	137	3	RED	3248	0	BLACK_MARKET_13	BAYMAX::FALSE,CAT_BURGLAR,EMPEROR_ZURG::FALSE,RAFIKI::FALSE	HERCULES:CONTROL:FALSE,RALPH::FALSE,HIRO::FALSE,MIGUEL:FREEZE:FALSE	[boss]SOULLESS_SWORD_F,HECTOR_BARBOSSA::FALSE,MERIDA:ICE:FALSE,JESSIE:DODGE:FALSE,SOULLESS_ONION,FINNICK:ENERGY:FALSE	SHARD_PISTON_CUP,SHARD_BATH_TIME,SHARD_PLUCKED_PELICAN	SUPER_DUPER_GLUE,SHARD_REEL_MATHEMATICALLY_DELICIOUS,EMBRITTLEMENT_PERFUME	
22-15	138	3	RED	3248	0	BLACK_MARKET_5	SOULLESS_SWORD_N,MAUI::FALSE,SOULLESS_ONION,HECTOR_BARBOSSA::FALSE	OLAF:ENERGY:FALSE,SHANK::FALSE,SOULLESS_SPLASH_F,SOULLESS_GHOUL_N,VANELLOPE::FALSE	[boss]MAUI::FALSE,SOULLESS_BRUTE,CALHOUN::FALSE,ELASTIGIRL:BACKLINE:FALSE,ALADDIN:SPEED:FALSE,EMPEROR_ZURG:TANK_COUNTER:FALSE	SHARD_PLUCKED_PELICAN,SHARD_DOGGONE_DEADLINES,SHARD_PISTON_CUP	EMBRITTLEMENT_PERFUME,SHARD_LOVE_BIRDS,SUPER_DUPER_GLUE	
22-16	138	3	RED	3248	1	BLACK_MARKET_4	HADES::FALSE,JACK_SKELLINGTON::FALSE,CAT_BURGLAR	HADES:TANK:FALSE,SOULLESS_DINOSAUR_F,ALADDIN:SPEED:FALSE,MIKE::FALSE,VIOLET::FALSE	[boss]HERCULES::FALSE,SOULLESS_CACTUS_F,MIKE:STUNS:FALSE,SOULLESS_ONION,VANELLOPE::FALSE,DUKE_CABOOM::FALSE	SHARD_REEL_HEROES_NIGHT_OUT,SHARD_DOGGONE_DEADLINES,SHARD_PISTON_CUP	SHARD_EXTRACT_OF_LLAMA,SHARD_LOVE_BIRDS,SUPER_DUPER_GLUE	
22-17	139	3	RED	3248	0	BLACK_MARKET_9	SALLY::FALSE,SOULLESS_TREASURE,MIKE::FALSE,SOULLESS_MAGE_F	CHIEF_BOGO::FALSE,BO_PEEP::FALSE,BAYMAX::FALSE,MIKE:FANTASTIC_DAMAGE:FALSE,SOULLESS_MAGE_N	[boss]MAUI:BITE:FALSE,BO_PEEP::FALSE,JACK_SPARROW:NORMAL_DAMAGE:FALSE,SOULLESS_MAGE_N,CALHOUN::FALSE,MALEFICENT:AOE:FALSE	SHARD_THE_PACIFIER,SHARD_DOGGONE_DEADLINES,SHARD_PISTON_CUP	GLASS_SLIPPERS,SHARD_LOVE_BIRDS,SUPER_DUPER_GLUE	
22-18	139	3	RED	3248	0	BLACK_MARKET_10	SOULLESS_SKELETON,MIKE::FALSE,SOULLESS_TREASURE,RAFIKI::FALSE	SHANK:ARMOR:FALSE,FELIX::FALSE,ELSA::FALSE,SOULLESS_GLASS_CANNON_F,YAX:DAMAGE:FALSE	[boss]MAUI:BITE:FALSE,SULLEY::FALSE,VANELLOPE:BACKLINE:FALSE,STITCH::FALSE,NICK_WILDE::FALSE,CAT_BURGLAR	SHARD_PISTON_CUP,SHARD_BATH_TIME,SHARD_THE_PACIFIER	SUPER_DUPER_GLUE,SHARD_REEL_SWEET_TOOTH,GLASS_SLIPPERS	
22-19	140	3	RED	3248	1	BLACK_MARKET_15	SULLEY::FALSE,HADES::FALSE,EMPEROR_ZURG::FALSE,SOULLESS_GLASS_CANNON_N	BO_PEEP::FALSE,SOULLESS_SWORD_N,SCAR:INVIS:FALSE,ELASTIGIRL::FALSE,SOULLESS_ONION	[boss]CHIEF_BOGO:HEALS:FALSE,SOULLESS_TREASURE,SCAR:INVIS:FALSE,SOULLESS_ONION,SOULLESS_DINOSAUR_F,JACK_SKELLINGTON::FALSE	SHARD_ILL_WISHING_WELL,SHARD_BATH_TIME,SHARD_THE_PACIFIER	SHARD_SPILT_MILK,SHARD_REEL_SWEET_TOOTH,GLASS_SLIPPERS	
23-1	135	3	RED_1	3248	1	CITY_ROOFTOPS_2	SALLY::FALSE,BUZZ::FALSE,JACK_SKELLINGTON::FALSE,ROBIN_HOOD::FALSE	HADES:TANK:FALSE,SOULLESS_BUG_N,JACK_SKELLINGTON::FALSE,JACK_JACK::FALSE,DARKWING_DUCK::FALSE	[boss]SULLEY:STUN_COUNTER:FALSE,EMPEROR_ZURG::FALSE,NICK_WILDE:CHARM:FALSE,SOULLESS_DINOSAUR_F,SOULLESS_SPLASH_N,SCAR::FALSE	SHARD_AUTO,SHARD_MISSION_FORCE_ONE,SHARD_WATCH_FOR_SPIT	SHARD_REEL_OO_DE_LALLY_ARROWS,SHARD_REEL_UKULELE,SHARD_YOU_CAN_FLY	
23-2	136	3	RED_1	3248	0	CITY_ROOFTOPS_3	SHANK::FALSE,EVE::FALSE,MERLIN::FALSE,YAX::FALSE	SOULLESS_SWORD_N,ALADDIN:SPEED:FALSE,VANELLOPE:SLOW:FALSE,SOULLESS_SPIDER_SUPPORT,TIA_DALMA::FALSE	[boss]MR_INCREDIBLE::FALSE,SOULLESS_BRUTE,SOULLESS_AUTOTURRET,BUZZ:ATTACK_SPEED:FALSE,MOANA:JUMP:FALSE,JUDY_HOPPS:SUPPORT:FALSE	SHARD_SQUISHY,SHARD_MISSION_FORCE_ONE,SHARD_WATCH_FOR_SPIT	SHARD_VITAL_INFORMATION,SHARD_REEL_UKULELE,SHARD_YOU_CAN_FLY	
23-3	136	3	RED_1	3248	0	CITY_ROOFTOPS_7	HERCULES::FALSE,SOULLESS_CANNON,SOULLESS_MAGE_F	HADES::FALSE,JACK_SPARROW:HP:FALSE,SCAR:INVIS:FALSE,MALEFICENT::FALSE	[boss]HERCULES:TANK:FALSE,SOULLESS_CANNON,HECTOR_BARBOSSA:STUDY:FALSE,MERLIN:CONTROL:FALSE,WOODY::FALSE	SHARD_MISSION_FORCE_ONE,SHARD_WEATHER_THE_STORM,SHARD_SQUISHY	SHARD_YOU_CAN_FLY,SHARD_CUTEING_STAR,SHARD_VITAL_INFORMATION	
